epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.2909,0,37.0449,0,0,0,0,0,0,38.0426,0,3.334e-05,3.334e-05,3.334e-05
2,22.5508,0,36.7338,0,0,0,0,0,0,38.1375,0,6.68467e-05,6.68467e-05,6.68467e-05
3,32.3967,0,36.2432,0,0,0,0,0,0,38.1879,0,8.05494e-05,8.05494e-05,8.05494e-05
4,41.8766,0,35.9066,0,0,0,0,0,0,38.2129,0,7.44482e-05,7.44482e-05,7.44482e-05
5,50.8311,0,35.5808,0,0,0,0,0,0,38.2631,0,4.8543e-05,4.8543e-05,4.8543e-05
