epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.4724,0,102.899,0,0,0,0,0,0,99.2769,0,3.334e-05,3.334e-05,3.334e-05
2,44.5897,0,101.822,0,0,0,0,0,0,99.5627,0,8.16997e-05,8.16997e-05,8.16997e-05
3,65.4845,0,100.202,0,0,0,0,0,0,99.464,0,0.000128079,0.000128079,0.000128079
4,86.5928,0,98.3817,0,0,0,0,0,0,99.3542,0,0.000172478,0.000172478,0.000172478
5,107.401,0,96.0288,0,0,0,0,0,0,99.772,0,0.000214896,0.000214896,0.000214896
6,128.553,0,92.7452,0,0,0,0,0,0,101.148,0,0.000255334,0.000255334,0.000255334
7,148.888,0,90.4736,0,0,0,0,0,0,102.482,0,0.000293792,0.000293792,0.000293792
8,170.076,0,88.1105,0,0,0,0,0,0,102.395,0,0.000330269,0.000330269,0.000330269
